年級,向度,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,英文能力訓練,7102121,7,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"二10,11",語言中心語言教室226,30,link,"保留新生27人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,8,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"三2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,9,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"三2,3",語言中心語言教室226,30,link,"保留新生27人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,10,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,11,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,12,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室226,30,link,"保留新生27人.支援文學院碩士班四年級. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,13,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"四2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,14,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"四10,11",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,15,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"四10,11",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,16,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"五2,3",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,17,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"五2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102131,1,"實用英語（整合技巧）
Practical English Usage (Integrated skills)",楊岳龍 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室227,30,link,"保留新生20人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門）；2)限英文程度認定為需選修「整合技巧」者；3)第1次上課務必出席；4)外文系生不得選修；5)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102231,1,"應用英語（整合技巧）
English Communication Skills (Integrated skills)",李佳家 ,"2
2/0/0",2,通識,"四10,11",語言中心語言教室224,40,link,.1)本課程為大一通識必修(第1學期實用、第2學期應用，各需選修1門)，為利課程改制大二以上學生銜接，本學期加開1班應用課程；2)限英文程度認定為「整合技巧」者選修；3)若該課程選修人數超過限修人數，則由選課系統進行篩選。建議先選擇尚未額滿之課程時段；4)第一次上課務必出席；5)外文系生不得選修；6)聯合國永續發展(SDGs)對應目標：4.4-4.7。(Attendance at the first class session is mandatory. Students must be present at the first class session to complete the placement test.)
2,自然科學與技術,7201002,1,"數學的過去與未來
The Past and Future of Mathematics",余文卿 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓212,90,link,保留新生25人; 擋修數學系生醫系電機系化工系通訊系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
2,自然科學與技術,7204004,1,"機率與人生
Probability in Life",陳仁義 ,"2
2/0/0",2,通識,"五4,5",電算中心217教室,40,link,保留新生11人; 擋修數學系社福系心理系資工系電機系通訊系經濟學系財金系企管系會資系資管系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7300006,1,"音樂文創與文案書寫
Creative Writing of Music and Project Design",李映瑾 ,"2
2/0/0",2,通識,"二8,9",共同教室大樓202,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,人文思維與生命探索,7300006,2,"音樂文創與文案書寫
Creative Writing of Music and Project Design",李映瑾 ,"2
2/0/0",2,通識,"四8,9",共同教室大樓202,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,公民與社會參與,7300007,1,"文化資產保存與法規
Cultural Property and Regulations",蘇全正 ,"2
2/0/0",2,通識,"二7,8",共同教室大樓321,62,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301036,1,"日文（一）
Japanese (I)",竹田理恵 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓321,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301036,2,"日文（一）
Japanese (I)",竹田理恵 ,"2
2/0/0",2,通識,"三4,5",共同教室大樓321,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301036,3,"日文（一）
Japanese (I)",竹田理恵 ,"2
2/0/0",2,通識,"四4,5",共同教室大樓321,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301037,1,"日文（二）
Japanese (II)",竹田理恵 ,"2
2/0/0",2,通識,"五4,5",共同教室大樓321,60,link,先修科目(7301036)日文（一）(及格) 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301037,2,"日文（二）
Japanese (II)",竹田理恵 ,"2
2/0/0",2,通識,"五8,9",共同教室大樓321,60,link,先修科目(7301036)日文（一）(及格) 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301038,1,"德文（一）
German (I)",楊美娟 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓213,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301040,1,"法文（一）
French (I)",陳泓光 ,"2
2/0/0",2,通識,"三8,9",文學院136,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301042,1,"西班牙文（一）
Spanish (I)",李優俐 ,"2
2/0/0",2,通識,"五2,3",文學院136,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301049,1,"初級印尼語
Beginning Indonesian
(全英語授課/English-taught) ",何德華 ,"2
2/0/0",2,通識,"二10,11",共同教室大樓121,40,link,"保留新生18人. ,列入東協與南亞法制學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301051,1,"台語文會話（一）
Taiwanese Conversation(I)",陳瀅州 ,"2
2/0/0",2,通識,"五7,8",共同教室大樓203,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301052,1,"台語文讀寫
Taiwanese Reading and Writing",陳瀅州 ,"2
2/0/0",2,通識,"四7,8",共同教室大樓203,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301058,1,"越南語基礎會話
Vietnamese Basic Conversation",胡秋莊 ,"2
2/0/0",2,通識,"五2,3",共同教室大樓207,60,link,"保留新生11人. ,列入東協與南亞法制學分學程科目限越南語零基礎之學生修習；選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301060,1,"基礎古希臘文
Basic Ancient Greek",黃俊龍 ,"2
2/0/0",2,通識,"四7,8",共同教室大樓213,62,link,保留新生18人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7302019,1,"世界史的視野
The Perspective of World History",方志強 ,"2
2/0/0",2,通識,"五2,3",文學院118,40,link,保留新生11人; 擋修歷史系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7302045,1,"臺灣民間信仰與生命關懷
Taiwan Folk Belief and Life Concern",蘇全正 ,"2
2/0/0",2,通識,"二10,11",共同教室大樓321,62,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,人文思維與生命探索,7302046,1,"敦煌的文獻與石窟藝術
Dunhuang Literature and Grotto Art",李映瑾 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓202,60,link,保留新生18人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7302049,1,"臺灣原住民族的社會與人文
The Social and Humanistic Customs of Taiwan? Indigenous People",童信智 ,"2
2/0/0",2,通識,"三4,5",共同教室大樓213,62,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目 ,列入原住民族語言、文化創意與應用學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,人文思維與生命探索,7302051,1,"臺灣原住民族家庭文化
Family culture of Taiwanese Indigenous Peoples",王怡婷 ,"2
2/0/0",2,通識,"四4,5",共同教室大樓213,62,link,"保留新生18人. ,列入原住民族語言、文化創意與應用學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,經濟與國際脈動,7302053,1,"永續與部落產業
Sustainabiblity and Indigenous Industry",方慧臻 ,"2
2/0/0",2,通識,"二8,9",共同教室大樓323,47,link,保留新生15人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303014,1,"生命倫理學
Bioethics",陳俊明 ,"2
2/0/0",2,通識,"一8,9",共同教室大樓325,60,link,保留新生18人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303015,1,"批判思考
Critical Thinking",林慧旻 ,"2
2/0/0",2,通識,"四10,11",共同教室大樓422,90,link,保留新生25人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303015,2,"批判思考
Critical Thinking",歐陽敏 ,"2
2/0/0",2,通識,"四10,11",共同教室大樓213,62,link,保留新生18人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303019,1,"當代政治哲學議題
Contemporary Issues of Political Philosophy",林耕漢 ,"2
2/0/0",2,通識,"五4,5",共同教室大樓201,60,link,保留新生18人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303020,1,"從科幻學哲學
Learning Philosophy via Science Fiction",陳俊明 ,"2
2/0/0",2,通識,"四4,5",共同教室大樓325,60,link,保留新生18人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303023,1,"意識哲學與科學
Philosophy and Science of Consciousness",陳今偉 ,"2
2/0/0",2,通識,"一2,3",共同教室大樓402,60,link,保留新生25人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303024,1,"理性與決策
Rationality and Decision-making",陳俊明 ,"2
2/0/0",2,通識,"一4,5",共同教室大樓325,60,link,保留新生18人; 擋修哲學系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303025,1,"電影中的哲學議題
The Philosophical Issues in Films",陳今偉 ,"2
2/0/0",2,通識,"一4,5",共同教室大樓402,80,link,保留新生25人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7303026,1,"邏輯推理與謬誤
Logical Reasoning and Fallacy",陳今偉 ,"2
2/0/0",2,通識,"一8,9",共同教室大樓402,80,link,保留新生25人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,藝術與美學,7304003,1,"聽覺藝術欣賞
Music Appreciation",黃富琴 ,"2
2/0/0",2,通識,"五2,3",共同教室大樓106階梯教室,90,link,"保留新生25人. ,列入「戲劇‧創意‧想像」學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304007,1,"西洋音樂史
A History of Western Music",謝馥年 ,"2
2/0/0",2,通識,"五4,5",共同教室大樓325,60,link,"保留新生18人. ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304011,1,"藝術欣賞
Art Appreciation",李淑卿 ,"2
2/0/0",2,通識,"五2,3",文學院106,55,link,"保留新生16人. ,列入藝術文物學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304012,1,"漫遊聲樂的世界
Introduction to Vocal Music",謝馥年 ,"2
2/0/0",2,通識,"五2,3",共同教室大樓325,60,link,"保留新生18人. ,列入「戲劇‧創意‧想像」學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304019,1,"藝術基礎理論與賞析
The Practice of Western Artists and Theories",黃承德 ,"2
2/0/0",2,通識,"三4,5",共同教室大樓507,60,link,"保留新生18人. ,列入藝術文物學程科目 ,列入「戲劇‧創意‧想像」學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304020,1,"當代藝術思潮
Trends of Contemporary Art",黃承德 ,"2
2/0/0",2,通識,"二8,9",共同教室大樓507,60,link,"保留新生18人. ,列入藝術文物學程科目 ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304023,1,"造形藝術與設計
Plastic art and Design",黃承德 ,"2
2/0/0",2,通識,"二10,11",共同教室大樓507,60,link,"保留新生18人. ,列入藝術文物學程科目 ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304024,1,"版畫創作基礎
Basic Printmaking",黃承德 ,"2
2/0/0",2,通識,"一8,9",共同教室大樓507,30,link,"保留新生9人. ,列入藝術文物學程科目 ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304024,2,"版畫創作基礎
Basic Printmaking",黃承德 ,"2
2/0/0",2,通識,"一10,11",共同教室大樓507,30,link,"保留新生9人. ,列入藝術文物學程科目 ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,藝術與美學,7304029,1,"表演與自我開發
Acting and Self-development",周力德 ,"2
2/0/0",2,通識,"五9,10",活動中心301舞蹈教室,16,link,". ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。限大三以上學生選修，若達選課人數上限，不予加簽。"
3,藝術與美學,7304030,1,"戲劇與人生
Drama and Life",周力德 ,"2
2/0/0",2,通識,"五4,5",共同教室大樓212,47,link,"保留新生15人. ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。若達選課人數上限，不予加簽。"
3,藝術與美學,7304030,2,"戲劇與人生
Drama and Life",周力德 ,"2
2/0/0",2,通識,"五7,8",共同教室大樓212,47,link,"保留新生15人. ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。若達選課人數上限，不予加簽。"
3,藝術與美學,7304031,1,"數位美學
Digital Aesthetics",陸維元 ,"2
2/0/0",2,通識,"一4,5",電算中心217教室,40,link,". ,列入藝術文物學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。限大二以上學生選修。"
3,藝術與美學,7304031,2,"數位美學
Digital Aesthetics",陸維元 ,"2
2/0/0",2,通識,"二4,5",電算中心217教室,40,link,". ,列入藝術文物學程科目 ,列入藝術微學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。限大二以上學生選修。"
