年級,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,2601101,01,"普通化學（一）
General Chemistry (I)",曾炳墝,"3

            3/0/0",3,必修,"二7 四7,8",化生系315,75,link,"保留新生55人 ,列入循環科技與永續發展學分學程科目"
1,2601101,02,"普通化學（一）
General Chemistry (I)",李珮甄,"3

            3/0/0",3,必修,一B 三B,化生系317,60,link,"保留新生55人; 支援物理系一年級A班. ,列入循環科技與永續發展學分學程科目"
1,2601101,03,"普通化學（一）
General Chemistry (I)",于淑君,"3

            3/0/0",3,必修,一B 三B,生醫系335,80,link,"保留新生55人; 支援化工系一年級A班. ,列入循環科技與永續發展學分學程科目此堂課程為EMI課程"
1,2601101,04,"普通化學（一）
General Chemistry (I)",林群欽,"3

            3/0/0",3,必修,三B 五B,化生系319,60,link,"保留新生55人; 支援地環系一年級A班. ,列入循環科技與永續發展學分學程科目"
1,2601107,01,"普通化學實驗（一）
General Chemistry Laboratory (I)",曾炳墝,"3

            0/3/0",1,必修,"三E,F",化生系201,55,link,限曾經修習或正在修習（2601101）普通化學（一）
1,2601107,02,"普通化學實驗（一）
General Chemistry Laboratory (I)",教師未定,"3

            0/3/0",1,必修,"五2,3,4",化生系201,55,link,支援物理系一年級A班.限曾經修習或正在修習（2601101）普通化學（一）
1,2601107,03,"普通化學實驗（一）
General Chemistry Laboratory (I)",于淑君,"3

            0/3/0",1,必修,"五E,F",化生系201,55,link,支援化工系一年級A班.支援化工系一年級A班; 限曾經修習或正在修習（2601101）普通化學（一）
1,2601107,04,"普通化學實驗（一）
General Chemistry Laboratory (I)",教師未定,"3

            0/3/0",1,必修,"四E,F",化生系201,55,link,支援地環系一年級A班.限曾經修習或正在修習（2601101）普通化學（一）
1,2601107,05,"普通化學實驗（一）
General Chemistry Laboratory (I)",程中玉,"3

            0/3/0",1,必修,"三2,3,4",化生系201,55,link,"支援生醫系一年級A班.支援地環系一年級A班; 限曾經修習或正在修習（2601101）普通化學（一）"
2,2602201,01,"有機化學（一）
Organic Chemistry (I)",許岱欣,"4

            4/0/0",4,必修,"二2,3 四2,3",化生系315,75,link,
