年級,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,2555001,01,"生物醫學書報討論（一）
Seminar on Biomedical Science (I)",陳浩仁,"2

            0/0/2",1,必修,"五4,5",生醫系228,0,碩士班課程,link,生醫碩一必修
1,2555003,01,"生物醫學書報討論（三）
Seminar on Biomedical Science(III)",吳淑芬,"2

            0/0/2",1,必修,"五4,5",生醫系236,0,碩士班課程,link,生醫碩二必修
1,2555005,01,"高等分子生物學
Advanced Molecular Biology",江明格 陳浩仁,"3

            3/0/0",3,必修,"四C,D",生醫系236,0,碩士班課程,link,限大四以上學生選修
1,2555011,01,"腫瘤生物學
Cancer Biology",翁靖傑 陳永恩,"3

            3/0/0",3,必修,"一7,8,9",生醫系236,0,碩博合開,link,[B.分子與細胞生物學群]
1,2555113,01,"分子病毒學專題研究（一）
Special topics on Molecular Virology(I)",張德卿,"2

            0/0/2",1,選修,"一13,14",生醫系460,0,碩博合開,link,
1,2555115,01,"基因治療與免疫專題研究（一）
Special topics on Gene Therapy and Immunology (I)",吳淑芬,"4

            0/0/4",2,選修,"一13,14 三13,14",生醫系456(研討室),0,碩博合開,link,
1,2555121,01,"生物醫學儀器操作實務
Practical Instrument Operation in Biomedical Science",李沁 呂昱瑋,"3

            0/3/0",1,選修,"五G,H",生醫系228,0,碩博合開,link,須參加暑期7/8-12儀器講習並通過認證考試
1,2555126,01,"分子病毒學專題研究（三）
Special topics on Molecular Virology(III)",張德卿,"2

            0/0/2",1,選修,"三13,14",生醫系460,0,碩博合開,link,
1,2555136,01,"生物資訊
Bioinformatics",周正中,"3

            3/0/0",3,選修,"三8,9,10",電算中心214教室,38,碩博合開,link,[A.基因體暨蛋白質體學群]
1,2555141,01,"表觀基因體學專題研究（一）
Special topics on Epigenomics (I)",蕭淑惠 陳永恩,"4

            0/0/4",2,選修,"一13,14 三13,14",生醫系236,0,碩博合開,link,
1,2555147,01,"癌症幹細胞專題研究(一)
Special topics on Cancer Stem Cell (I)",翁靖傑,"2

            0/0/2",1,選修,"一2,3",生醫系456(研討室),0,碩博合開,link,
