年級,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,3105001,01,"社會福利專題討論（一）
Seminar on Social Welfare (I)",李妙純 劉豐佾,"2

            0/0/2",1,必修,"三2,3",社科院229,0,碩博合開,link,碩一博一必修：本課程為碩博合開上課，碩一博一同學請選修社會福利專題（一），如同一學期同時選修（一）及（三），僅採認其中一門。
1,3105003,01,"社會福利專題討論（三）
Seminar on Social Welfare (III)",李妙純 劉豐佾,"2

            0/0/2",1,必修,"三4,5",社科院229,0,碩博合開,link,碩二博二必修：本課程為碩博合開上課，碩二博二同學請選修社會福利專題（三），如同一學期同時選修（一）及（三），僅採認其中一門。
1,3105075,01,"社會安全
Social Security",葉秀珍,"3

            3/0/0",3,必修,"二4,5,6",社科院361,0,碩博合開,link,",列入公部門管理學分學程科目 ,列入社會正義學分學程科目碩士班三選一必修。"
1,3105088,01,"社會計量
Sociometrics",顏詩耕,"3

            3/0/0",3,必修,"三7,8,9",社科院232電腦教室,0,碩士班課程,link,碩士班一年級必修。
1,3105236,01,"生命歷程與社會政策
Life Course and Social Policy",張世雄,"3

            3/0/0",3,選修,"一8,9,10",社科院361,0,碩博合開,link,",列入公部門管理學分學程科目"
1,3106005,01,"社會福利理論專題
Seminar on Theories of Social Welfare",阮曉眉,"3

            3/0/0",3,必修,"三7,8,9",社科院346,0,博士班課程,link,博士班一年級必修。
1,3106475,01,"社區政策專題討論（一）
Independ Study on Community Policy I",吳明儒 郭惠瑜,"3

            3/0/0",3,選修,"五13,14,15",教授研究室,0,碩博合開,link,本課程為研究生論文指導課程，須經指導教授同意後始得選修。
1,3106481,01,"性別角色與健康專題討論一
Gender and Health Inequality",李妙純 王舒芸 林煥笙,"3

            3/0/0",3,選修,"五13,14,15",教授研究室,0,碩博合開,link,本課程為研究生論文指導課程，須經指導教授同意後始得選修。
1,3106519,01,"社會政策與社會不平等（一）
Social Policy and Social inequality(I)",阮曉眉 翁康容,"3

            3/0/0",3,選修,"五13,14,15",教授研究室,0,碩博合開,link,本課程為研究生論文指導課程，須經指導教授同意後始得選修。
1,3106531,01,"社會福利理論與政策一 
Social Welfare Theory and Social Policy I",葉秀珍 黃國治 劉豐佾,"3

            3/0/0",3,選修,"五13,14,15",教授研究室,0,碩博合開,link,本課程為研究生論文指導課程，須經指導教授同意後始得選修。
1,3106540,01,"人口老化與長期照顧一
Ageing and Long-term Care I",鄭清霞 陳柯玫 顏詩耕,"3

            3/0/0",3,選修,"五13,14,15",教授研究室,0,碩博合開,link,本課程為研究生論文指導課程，須經指導教授同意後始得選修。
1,3106550,01,"長期照顧保險
Long-term care insurance",鄭清霞,"3

            3/0/0",3,選修,"一3,4,5",社科院361,0,碩博合開,link,
1,3106551,01,"社會調查量化資料邏輯運算與實證分析
Logical operation and empirical analysis for social quantitative survey data",李妙純,"3

            3/0/0",3,選修,"五E,F",社科院232電腦教室,0,碩博合開,link,1.本課程開放大二以上選修。2.其他系所學生選修請提供修過統計相關課程佐證，由授課教師決定是否同意修課。
