年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,3655109,01,成人心理病理學深論Advanced Adult Psychopathology,鄧閔鴻,"3
            3/0/0",3,選修,"二8,9,10",社科院455,0,碩士班課程,link,",列入司法心理碩士學分學程科目課群：臨床病理。"
1,3655111,01,臨床神經心理衡鑑Clinical neuropsychological assessment,徐晏萱,"3
            3/0/0",3,選修,"一E,F",社科院472,0,碩士班課程,link,先修科目(3655110)臨床神經心理學(及格) 。課群：臨床衡鑑。須修畢臨床神經心理學，並經授課教師同意。
1,3655116,01,獨立研究：神經心理學 Independent Research: Neuropsychology,徐晏萱,"3
            3/0/0",3,選修,"一C,D",社科院472,0,碩士班課程,link,先修科目(3655110)臨床神經心理學() (3655111)臨床神經心理衡鑑() (所有先修條件都必須符合)。限修畢臨床神經心理學、臨床神經心理衡鑑，並經授課教師同意。課群:獨立研究。
1,3655118,01,臨床心理學實習：臨床神經心理學Clinical Psychology Intership: Clinical Neuropsychology,徐晏萱,"6
            0/6/0",3,選修,"五10,11,12,13,14,15",社科院472,0,碩士班課程,link,先修科目(3655110)臨床神經心理學() (3655111)臨床神經心理衡鑑() (所有先修條件都必須符合)。須修畢臨床神經心理學、臨床神經心理衡鑑，並經授課教師同意及本系實習委員會通過。課群:臨床實習。
1,3655119,01,臨床心理學實習：精神科臨床心理師實務Clinical Psychology Internship: clinical psychologist in psychiatry,鄧閔鴻,"6
            0/6/0",3,選修,"一10,11,12,13,14,15",教授研究室,0,碩士班課程,link,課群：臨床實習。修課需先通過本系臨床實習委員會的實習資格審查。
1,3655205,01,睡眠生理心理學與醫學（一）Sleep Physiological Psychology and Sleep Medicine (I),蔡玲玲 葉世彬,"3
            3/0/0",3,選修,"四3,4,5",社科院432,0,碩士班課程,link,",列入司法心理碩士學分學程科目課群:臨床病理。建議先修：生理心理學相關課程。開放大三大四選修。"
1,3655216,01,壓力身心衡鑑與生理回饋Psychophysiological stress assessment and biofeedback,翁嘉英,"4
            4/0/0",4,選修,"一3,4,5,6",社科院455,0,碩士班課程,link,課群:臨床衡鑑。
1,3655413,01,臨床心理學實習：兒童臨床心理學Clinical Psychology Internship: Clinical Child Psychology,徐晏萱,"6
            0/6/0",3,選修,"三10,11,12,13,14,15",教授研究室,0,碩士班課程,link,課群:臨床實習。需授課教師同意及需通過本系實習委員會審查。
1,3655416,01,臨床心理學實習：成人臨床心理學Clinical Psychology Internship: Clinical Adult Psychology,謝玲玉,"6
            0/6/0",3,選修,"五7,8,9,10,11,12",社科院459,0,碩士班課程,link,課群：臨床實習。修課前須先經本系臨床心理實習委員會審核通過。
1,3656104,01,獨立研究：焦慮與憂鬱Independent Study: Anxiety and Depression,鄧閔鴻,"3
            3/0/0",3,選修,"二3,4,5",社科院455,0,碩士班課程,link,課群：獨立研究。開放大三大四選修，需授課教師同意，上課時間另訂。
