年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,2501001,01,普通生物學（一）Biology (I),蕭淑惠 黃敏郎,"3
            3/0/0",3,必修,一F 三F,生醫系331,55,link,"保留新生45人 ,列入組織工程學程科目 ,列入功能性基因體學程科目 ,列入環境生物技術學程科目"
1,2501002,01,普通生物學實驗（一）Experiments on Biology (I),蕭淑惠 丁肇瑩,"3
            0/3/0",1,必修,"一G,H",生醫系343,40,link,保留新生40人限本系學生修
1,2501003,01,普通化學General Chemistry,李政怡,"3
            3/0/0",3,必修,二F 四F,生醫系331,55,link,保留新生40人
1,2501009,01,微積分Calculus,周正中,"3
            3/0/0",3,必修,"二4,5 四4",生醫系331,55,link,保留新生45人限本系學生修
1,2501102,01,生物醫學導讀（一）Introduction for Biomedical Sciences Reading(I),蕭淑惠,"1
            1/0/0",1,選修,四10,生醫系534,20,link,保留新生20人; 支援生醫系一年級.限本系大一生修.[C.其他核心課程]
2,2502011,01,生物化學（一）Biochemistry (I),黃憲斌,"3
            3/0/0",3,必修,一G 三G,生醫系333,55,link,"先修科目(2501001)普通生物學（一）(曾經修習)  ,列入環境生物技術學程科目"
2,2502014,01,生命科學實驗（一）Experiments on Life Science(I),黃憲斌,"3
            0/3/0",1,必修,"四G,H",生醫系343,40,link,先修科目(2501001)普通生物學（一）(曾經修習) 限本系學生修
2,2502105,01,生物醫學應用Application of Biomedical Science,黃英傑,"2
            2/0/0",2,選修,"五4,5",生醫系333,55,link,"先修科目(2501001)普通生物學（一）(曾經修習)  ,列入功能性基因體學程科目[C.其他核心課程]"
2,2502117,01,解剖生理學Human Anatomy,趙崇男 張家銘,"2
            2/0/0",2,選修,"五4,5",生醫系331,55,link,",列入功能性基因體學程科目[B.分子與細胞生物學群]"
2,2502120,01,生物醫學導讀(二)Introduction for biomedical Sciences Reading(II),黃敏郎,"2
            2/0/0",2,選修,"三2,3",生醫系333,55,link,先修科目(2501001)普通生物學（一）(曾經修習) (2501004)普通生物學（二）(曾經修習) (所有先修條件都必須符合)[C.其他核心課程]
2,2502122,01,組織學Histology,陳永恩 吳淑芬 余俊頴 翁靖傑,"3
            3/0/0",3,選修,"四7,8,9",生醫系333,55,link,先修科目(2501001)普通生物學（一）(曾經修習) (2501004)普通生物學（二）(曾經修習) (所有先修條件都必須符合)[B.分子與細胞生物學群]
3,2503002,01,遺傳學Genetics,呂昱瑋 黃敏郎,"3
            3/0/0",3,必修,一C 三C,生醫系335,80,link,"先修科目(2501001)普通生物學（一）(曾經修習)  ,列入功能性基因體學程科目"
3,2503008,01,生命科學實驗（三）Experiments on Life Science(III),李沁,"3
            0/3/0",1,必修,"二G,H",生醫系343,40,link,先修科目(2502011)生物化學（一）(曾經修習)
3,2503009,01,醫用病毒學Medical Virology,張德卿,"2
            2/0/0",2,必修,"三8,9",生醫系335,80,link,先修科目(2502011)生物化學（一）(曾經修習) (2502007)分子生物學(曾經修習) (只要符合任一先修條件)
3,2503010,01,醫用微生物學Medical Microbiology,李沁,"2
            2/0/0",2,必修,"四8,9",生醫系335,80,link,"先修科目(2502011)生物化學（一）(曾經修習) (2502007)分子生物學(曾經修習) (只要符合任一先修條件) ,列入功能性基因體學程科目"
3,2503106,01,專題研究實驗（一）Experiments on Special Research Topics(I),陳浩仁,"3
            0/3/0",1,選修,"二I,J",生醫系335,80,link,",列入功能性基因體學程科目[限本系專題生修]"
3,2503110,01,結構生物學Structural Biology,黃憲斌,"2
            2/0/0",2,選修,"四4,5",生醫系228,36,link,",列入功能性基因體學程科目[A.基因體暨蛋白質體學群]"
3,2503112,01,系統生物學概論Introduction to Systems Biology,周正中,"3
            3/0/0",3,選修,"一7,8,9",電算中心214教室,38,link,",列入功能性基因體學程科目[A.基因體暨蛋白質體學群]"
3,2503121,01,發育生物學Developmental Biology,江明格 黃敏郎,"3
            3/0/0",3,選修,"二E,F",生醫系228,36,link,[B.分子與細胞生物學群]
4,2504002,01,專題討論（一）Seminar (I),江明格,"2
            0/0/2",1,必修,"一4,5",生醫系228,36,link,(A班)限學號單號學生修
4,2504002,02,專題討論（一）Seminar (I),陳浩仁,"2
            0/0/2",1,必修,"四10,11",生醫系228,36,link,(B班)限學號雙號學生修
4,2504108,01,專題研究實驗（三）Experiments on Special Research Topics(III),陳浩仁,"3
            0/3/0",1,選修,"二I,J",生醫系335,80,link,",列入功能性基因體學程科目[限本系專題生修]"
