年級,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,3151001,01,"普通心理學（一）
General Psychology (I)",李季湜 沈玉玲 陳欣進,"3

            3/0/0",3,必修,"三7,8,9",社科院127,120,link,保留新生60人
1,3151003,01,"心理及教育統計學（一）
Statistics for Psychology and Education (I)",蘇雅蕙,"3

            3/0/0",3,必修,"二E,F",社科院127,120,link,保留新生60人
1,3151910,01,"心理學閱讀技巧
Reading Skill in Psychology",王豐彬,"2

            2/0/0",2,選修,"三2,3",社科院127,120,link,保留新生60人
2,3152004,01,"心理學實驗法
Methods of Psychological Experiments",趙長懋 陳欣進,"3

            3/0/0",3,必修,"二G,H",社科院423,80,link,",列入運動心理科學學士學分學程科目"
2,3152301,01,"發展心理學
Developmental Psychology",沈玉玲,"3

            3/0/0",3,必修,二D 四D,社科院423,80,link,",列入司法心理學士學分學程科目"
2,3152505,01,"生理心理學（一）
Physiological Psychology (I)",蔡玲玲,"2

            2/0/0",2,必修,"三4,5",社科院127,120,link,",列入組織工程學程科目 ,列入司法心理學士學分學程科目建議具備普通心理學或普通生物學知識基礎。"
2,3152701,01,"社會心理學
Social Psychology
 (全英語授課/English-taught)",藤原健,"3

            3/0/0",3,必修,"四E,F",社科院127,120,link,",列入人力資源與組織心理學分學程科目 ,列入前瞻高齡跨域創新學分學程科目 ,列入司法心理學士學分學程科目"
3,3153003,01,"心理測驗學理論
Theory of Psychological Testing",蘇雅蕙,"3

            3/0/0",3,必修,"三E,F",社科院423,80,link,",列入運動心理科學學士學分學程科目"
3,3153010,01,"組織行為學專題研究
Special Topics on Organizational Behavior",姜定宇,"3

            3/0/0",3,選修,"四4,5,6",社科院463,15,link,須先修習過組織行為課程。
3,3153121,01,"知覺心理學
Psychology of Perception",趙長懋 陳欣進,"3

            3/0/0",3,必修,"四G,H",社科院423,80,link,"先修科目(3152004)心理學實驗法()  ,列入認知科學學程(1091起停辦)科目"
3,3153184,01,"使用者經驗專題
Topics in user experience",廖敏如,"3

            3/0/0",3,選修,"三G,H",社科院472,20,link,先修科目(3152004)心理學實驗法() (3152101)人類學習與認知() (所有先修條件都必須符合)
3,3153302,01,"青少年發展
Development of Adolescents
 (全英語授課/English-taught)",沈玉玲,"3

            3/0/0",3,選修,二F 四F,社科院472,20,link,",列入司法心理學士學分學程科目"
3,3153550,01,"R資料分析以及程式寫作入門：在社會科學之應用
 Data Analysis and Programming with R: Applications in Social Sciences",李季湜,"3

            3/0/0",3,選修,"一7,8,9",社科院407,25,link,先修科目(3151003)心理及教育統計學（一）(及格) (3151004)心理及教育統計學（二）(及格) (所有先修條件都必須符合)
3,3153920,01,"心理學專題研究（一）
Topical Research in Psychology (I)",李季湜 陳欣進 許功餘,"3

            3/0/0",3,選修,"五13,14,15",社科院430,40,link,先修科目(3152004)心理學實驗法(及格)
3,3153972,01,"壓力與向上適應
Evolving with stress",翁嘉英 陳欣進,"3

            3/0/0",3,選修,"三4,5,6",社科院126,24,link,"先修科目(3152505)生理心理學（一）() (3152506)生理心理學（二）() (3153902)變態心理學() (只要符合任一先修條件) ,列入運動心理科學學士學分學程科目"
